samples,sample_name,Group,area,convex_hull_area,solidity,perimeter,width,height,longest_path,center_of_mass,convex_hull_vertices,ellipse_center,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,image_name,linear_scale,area_scale,Age
plant34,P3-JSC1A-4,JSC1A,18129,26913.5,0.673602467,1337.089061,210,200,1833,"(2264.548127309835,3067.463897622594)",36,"(2258.4814453125,3060.0009765625)",223.9905853,140.5900421,133.5748749,0.778487187,GLDS-476_image-analysis_210504-P3.tiff,2.04878E-05,4.19752E-10,04
plant9,P3-JSC1A-1,JSC1A,16731,28092,0.595578812,1509.05469,182,238,1747,"(814.3484549638396,648.3834199988046)",28,"(816.7139892578125,651.8741455078125)",226.3897247,144.8682404,28.43817329,0.768452836,GLDS-476_image-analysis_210506-P3.tiff,3.65341E-05,1.33474E-09,06
plant13,P3-A11,A11,265,293.5,0.902896082,77.84061968,20,23,145,"(2210.147169811321,691.6867924528302)",15,"(2210.09326171875,691.7418212890625)",21.62606049,15.89207649,28.90969849,0.67822135,GLDS-476_image-analysis_210506-P3.tiff,3.65341E-05,1.33474E-09,06
plant18,P3-JSC1A-2,JSC1A,7385,10074.5,0.73303886,846.2035359,110,172,1257,"(1180.949356804333,963.5928232904536)",33,"(1180.7823486328125,962.5451049804688)",204.4113159,58.98100662,25.45476723,0.957467598,GLDS-476_image-analysis_210506-P3.tiff,3.65341E-05,1.33474E-09,06
plant22,P3-A12,A12,335,332,1.009036145,81.25483322,28,19,190,"(2621.644776119403,1056.9611940298507)",16,"(2622.009521484375,1056.723876953125)",29.14610291,14.5968399,68.08952332,0.865553669,GLDS-476_image-analysis_210506-P3.tiff,3.65341E-05,1.33474E-09,06
plant25,P3-JSC1A-3,JSC1A,6959,9473,0.734614167,608.4406867,122,155,1240,"(909.911337835896,1284.2727403362553)",34,"(909.7855834960938,1284.3985595703125)",186.4719086,59.24110031,33.52301788,0.948193125,GLDS-476_image-analysis_210506-P3.tiff,3.65341E-05,1.33474E-09,06
plant29,P3-A17,A17,885,1771.5,0.49957663,280.133496,67,49,425,"(2288.071186440678,1206.5559322033898)",16,"(2287.505615234375,1207.6456298828125)",64.09680176,36.72372055,64.27882385,0.819596234,GLDS-476_image-analysis_210506-P3.tiff,3.65341E-05,1.33474E-09,06
plant34,P3-JSC1A-4,JSC1A,4259,6497.5,0.655482878,655.7226245,81,127,919,"(1186.440009391876,1704.3019488142756)",26,"(1184.9364013671875,1702.08935546875)",121.4284058,59.70070648,155.5856171,0.870790899,GLDS-476_image-analysis_210506-P3.tiff,3.65341E-05,1.33474E-09,06
plant9,P3-JSC1A-1,JSC1A,28043,46549.5,0.602433968,1552.687503,270,262,1965,"(856.2134935634562,577.1872481546197)",37,"(856.61376953125,582.8681640625)",253.667984,215.1710358,56.91930008,0.529613893,GLDS-476_image-analysis_210508-P3.tiff,3.66544E-05,1.34355E-09,08
plant18,P3-JSC1A-2,JSC1A,12222,17037.5,0.717358767,940.3889519,130,199,1438,"(1216.5032727867779,904.7800687285223)",29,"(1217.2322998046875,905.5507202148438)",200.0930328,94.76733398,26.11491394,0.880731255,GLDS-476_image-analysis_210508-P3.tiff,3.66544E-05,1.34355E-09,08
plant22,P3-A12,A12,451,444,1.015765766,87.84061968,30,22,192,"(2665.10199556541,1013.2172949002218)",16,"(2665.099853515625,1013.1196899414062)",30.3697834,17.98069,72.91728973,0.80589495,GLDS-476_image-analysis_210508-P3.tiff,3.66544E-05,1.34355E-09,08
