samples,sample_name,Group,area,convex_hull_area,solidity,perimeter,width,height,longest_path,center_of_mass,convex_hull_vertices,ellipse_center,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,image_name,linear_scale,area_scale,Age
plant22,P2-A12,A12,16426,25813,0.636346027,959.4183894,239,145,1622,"(4846.1746012419335,1929.6856203579691)",36,"(4846.29736328125,1922.75927734375)",228.2214508,133.5226746,100.3870621,0.810991804,GLDS-476_image-analysis_210504-P2.tiff,2.04908E-05,4.19873E-10,04
plant34,P2-JSC1A-4,JSC1A,28635,38228.5,0.749048485,1083.643785,253,237,1594,"(2404.8651300855595,3044.521878819626)",39,"(2399.20947265625,3036.701904296875)",246.2560883,193.5283966,126.9571381,0.618375614,GLDS-476_image-analysis_210504-P2.tiff,2.04908E-05,4.19873E-10,04
plant13,P2-A11,A11,16575,30419,0.544889707,1317.990557,275,169,1853,"(4287.315595776772,1333.6326395173453)",35,"(4273.845703125,1329.9549560546875)",249.2545929,151.1702271,88.34325409,0.795091699,GLDS-476_image-analysis_210504-P2.tiff,2.04908E-05,4.19873E-10,04
plant9,P2-JSC1A-1,JSC1A,13602,31925.5,0.426054408,1290.564294,204,235,2022,"(1823.2644464049404,1175.7043081899722)",39,"(1834.0010986328125,1176.2333984375)",256.3885498,164.436676,48.28636169,0.767242318,GLDS-476_image-analysis_210504-P2.tiff,2.04908E-05,4.19873E-10,04
plant29,P2-A17,A17,11546,18943,0.609512749,1031.276896,180,160,1252,"(4241.974363415901,2409.967954269877)",34,"(4253.0283203125,2403.937255859375)",172.2943878,154.0290527,41.24421692,0.448091624,GLDS-476_image-analysis_210504-P2.tiff,2.04908E-05,4.19873E-10,04
plant18,P2-JSC1A-2,JSC1A,14958,28599.5,0.523016137,1444.149625,166,275,1890,"(2454.135713330659,1725.1762267682846)",33,"(2450.48828125,1744.34033203125)",235.1838226,139.837677,7.586160183,0.804029917,GLDS-476_image-analysis_210504-P2.tiff,2.04908E-05,4.19873E-10,04
plant25,P2-JSC1A-3,JSC1A,14416,19160,0.752400835,823.5361396,241,105,1691,"(1767.8602247502774,2414.7169811320755)",38,"(1769.19482421875,2413.366943359375)",243.881134,92.91581726,82.61978912,0.924579929,GLDS-476_image-analysis_210504-P2.tiff,2.04908E-05,4.19873E-10,04
plant13,P2-A11,A11,2949,3637.5,0.810721649,304.9777027,81,84,707,"(2198.1163106137674,818.2668701254663)",26,"(2199.231201171875,818.7404174804688)",110.6031494,40.40226364,135.8546906,0.930893634,GLDS-476_image-analysis_210506-P2.tiff,3.64431E-05,1.3281E-09,06
plant22,P2-A12,A12,2620,5848,0.448016416,639.4481883,95,95,706,"(2509.7709923664124,1015.6465648854962)",17,"(2507.10595703125,1021.3779296875)",105.6620407,78.02964783,60.44918823,0.674271815,GLDS-476_image-analysis_210506-P2.tiff,3.64431E-05,1.3281E-09,06
plant29,P2-A17,A17,3616,4680.5,0.772567033,359.2619735,56,118,849,"(2192.620575221239,1372.7638274336284)",23,"(2192.464599609375,1372.7794189453125)",135.0318451,42.56242371,170.0046539,0.949024319,GLDS-476_image-analysis_210506-P2.tiff,3.64431E-05,1.3281E-09,06
plant18,P2-JSC1A-2,JSC1A,4625,5663,0.816704927,388.676187,126,67,896,"(1234.6047567567568,1007.4631351351352)",25,"(1235.2344970703125,1007.0919189453125)",146.0096436,47.21442032,104.4916458,0.946274286,GLDS-476_image-analysis_210506-P2.tiff,3.64431E-05,1.3281E-09,06
plant9,P2-JSC1A-1,JSC1A,6440,8485.5,0.758941724,503.4873692,165,65,1150,"(841.5343167701864,736.2422360248447)",32,"(841.4661254882812,735.2698974609375)",186.6394043,56.31671143,85.29885101,0.953390019,GLDS-476_image-analysis_210506-P2.tiff,3.64431E-05,1.3281E-09,06
plant34,P2-JSC1A-4,JSC1A,8031,10422.5,0.770544495,630.5411919,174,74,1226,"(1179.7573154028141,1743.845224754078)",34,"(1179.79296875,1743.905029296875)",189.2608185,63.94200897,95.00833893,0.941199509,GLDS-476_image-analysis_210506-P2.tiff,3.64431E-05,1.3281E-09,06
plant25,P2-JSC1A-3,JSC1A,6119,8206.5,0.745628465,535.7716399,170,85,1230,"(856.7385193659095,1388.3132864847198)",27,"(857.2508544921875,1388.6651611328125)",179.5493927,53.43070221,71.01807404,0.954696202,GLDS-476_image-analysis_210506-P2.tiff,3.64431E-05,1.3281E-09,06
plant13,P2-A11,A11,2897,3813,0.759769211,340.1909058,47,101,687,"(2228.0842250604073,851.840869865378)",23,"(2228.56787109375,853.28369140625)",109.0116882,40.86494446,6.982560158,0.927078379,GLDS-476_image-analysis_210508-P2.tiff,3.63297E-05,1.31985E-09,08
plant29,P2-A17,A17,5756,7784,0.73946557,587.4701242,68,149,1077,"(2220.2178596247395,1418.1110145934676)",27,"(2220.200927734375,1416.9129638671875)",160.1206207,54.94229507,171.1012421,0.93928768,GLDS-476_image-analysis_210508-P2.tiff,3.63297E-05,1.31985E-09,08
plant22,P2-A12,A12,4401,7164.5,0.614278735,669.8056417,107,97,756,"(2539.9000227221086,1062.7909566007725)",22,"(2534.9453125,1070.0150146484375)",112.2966919,82.99003601,74.56145477,0.673678262,GLDS-476_image-analysis_210508-P2.tiff,3.63297E-05,1.31985E-09,08
plant18,P2-JSC1A-2,JSC1A,10103,13444.5,0.751459705,747.8376553,175,112,1241,"(1251.2022171632188,1062.9213105018312)",27,"(1252.8458251953125,1064.088623046875)",161.2005615,95.03408813,95.40148926,0.807739595,GLDS-476_image-analysis_210508-P2.tiff,3.63297E-05,1.31985E-09,08
plant9,P2-JSC1A-1,JSC1A,13439,19678,0.682945421,970.3889519,229,125,1601,"(852.3593273309026,791.5941662326065)",30,"(853.440673828125,792.8023681640625)",213.4407654,104.0994034,83.86641693,0.872999924,GLDS-476_image-analysis_210508-P2.tiff,3.63297E-05,1.31985E-09,08
plant34,P2-JSC1A-4,JSC1A,16386,26078,0.628345732,1133.74429,216,191,1509,"(1206.596911998047,1803.2595508360796)",29,"(1207.9144287109375,1803.7208251953125)",186.7664337,160.0046997,93.0170517,0.515798135,GLDS-476_image-analysis_210508-P2.tiff,3.63297E-05,1.31985E-09,08
plant25,P2-JSC1A-3,JSC1A,11803,16861,0.700017793,897.8620405,198,126,1470,"(878.8869778869779,1443.2242650173685)",34,"(878.905517578125,1442.8935546875)",196.609436,94.67932129,64.93499756,0.876412898,GLDS-476_image-analysis_210508-P2.tiff,3.63297E-05,1.31985E-09,08
plant13,P2-A11,A11,1892,3704.5,0.510730193,578.5742053,50,99,664,"(2144.093023255814,783.8779069767442)",20,"(2143.26806640625,783.0068359375)",93.05930328,43.33866501,2.051429272,0.884937301,GLDS-476_image-analysis_210510-P2.tiff,3.65397E-05,1.33515E-09,10
plant22,P2-A12,A12,5177,7742,0.668690261,792.555181,131,85,914,"(2464.5792930268494,979.3921189878308)",24,"(2464.588134765625,979.3630981445312)",122.1843109,68.93021393,97.92113495,0.825672682,GLDS-476_image-analysis_210510-P2.tiff,3.65397E-05,1.33515E-09,10
plant29,P2-A17,A17,12074,19576.5,0.616759891,990.3300768,154,203,1417,"(2142.8497598144772,1349.0846446910716)",28,"(2143.594482421875,1347.7218017578125)",175.9836121,126.7621994,175.3718872,0.693655575,GLDS-476_image-analysis_210510-P2.tiff,3.65397E-05,1.33515E-09,10
plant18,P2-JSC1A-2,JSC1A,22099,34895.5,0.633290825,1293.567665,216,258,1810,"(1161.636544640029,1004.7771392370696)",39,"(1164.68359375,1006.8823852539062)",225.35849,178.3369141,4.942144394,0.611366403,GLDS-476_image-analysis_210510-P2.tiff,3.65397E-05,1.33515E-09,10
plant9,P2-JSC1A-1,JSC1A,27181,46869,0.579935565,1530.663118,275,276,1946,"(762.9658217136971,726.0490784003532)",40,"(770.959716796875,725.9070434570312)",242.9984894,226.9707336,29.1174469,0.357163848,GLDS-476_image-analysis_210510-P2.tiff,3.65397E-05,1.33515E-09,10
plant25,P2-JSC1A-3,JSC1A,25072,40781.5,0.614788568,1480.261097,223,224,1790,"(801.2593331206126,1382.7458918315251)",37,"(806.6737060546875,1378.972900390625)",221.9239807,212.1989746,163.1235962,0.292783827,GLDS-476_image-analysis_210510-P2.tiff,3.65397E-05,1.33515E-09,10
plant34,P2-JSC1A-4,JSC1A,30135,50224,0.600011946,1583.876321,245,326,2177,"(1136.8004977600797,1731.826613572258)",41,"(1138.94970703125,1734.0772705078125)",285.1884155,200.464386,176.6209564,0.711269802,GLDS-476_image-analysis_210510-P2.tiff,3.65397E-05,1.33515E-09,10
