Row-names,Symbol,Moon-Earth___log2FoldChange,Moon-Earth___padj,data
AT3G15550,,-1.759892332,0.002524743,
AT2G28620,,-1.623209586,0.002524743,
AT4G15890,,-1.173051054,0.002524743,
AT1G03780,TPX2,-1.65999943,0.002554925,
AT2G34640,PTAC12,-1.261714928,0.002554925,
AT3G18680,,-1.085093902,0.002554925,
AT1G25320,,-0.628471304,0.002554925,
AT4G01430,,2.24719509,0.002554925,
AT5G23910,,-1.61451323,0.002572142,
AT3G57060,,-1.111816068,0.002597355,
AT5G39240,,-1.754085369,0.002608489,
AT1G15660,CENP-C,-0.757696803,0.002608489,
AT5G63950,CHR24,-0.493471599,0.002608489,
AT4G35620,CYCB2-2,-1.475105078,0.002628925,
AT5G04770,CAT6,-1.455148988,0.002628925,
AT1G62580,,1.708096948,0.002628925,
AT3G04260,PTAC3,-1.027937837,0.002765662,
AT3G06070,,-2.325166224,0.002842117,
AT1G65710,,-1.708396813,0.002928646,
AT2G36200,,-1.609602974,0.002928646,
AT4G01130,,-1.506188154,0.002928646,
AT3G16180,NPF1.1,-1.358481275,0.002928646,
AT4G12480,EARLI1,3.888349904,0.002928646,
AT2G42530,COR15B,-1.932820627,0.002945629,
AT4G18240,SS4,-1.207214115,0.002990276,
AT5G02400,PLL2,-0.812753409,0.003033966,
AT1G71460,PCMP-A3,-0.779303868,0.00305604,
AT4G35480,ATL45,-1.320029373,0.003066273,
AT4G16146,,-2.311200938,0.003093418,
AT3G02640,,-1.709640357,0.003093418,
AT1G49910,BUB3.2,-1.149504398,0.003093418,
AT3G10180,KIN7O,-1.065012074,0.003093418,
AT1G50490,UBC20,-1.413747397,0.003096195,
AT5G59010,BSK5,-0.811064177,0.003105333,
AT2G20670,,1.232025972,0.003137441,
AT3G06160,,-2.115714903,0.003176673,
AT2G39670,,-0.957359977,0.003176673,
AT4G21820,,-1.572462927,0.003219854,
AT5G13330,ERF113,2.281850168,0.003234434,
AT3G15640,COX5B-1,-0.560643966,0.003250179,
AT5G62550,,-1.433523201,0.003270633,
AT2G29260,,-1.415778759,0.003270633,
AT1G80280,,-1.237923471,0.003270633,
AT4G28510,PHB1,-0.644641753,0.003270633,
AT2G40070,,-0.479052806,0.003274328,
AT3G57350,NUP93B,-0.425247961,0.003274328,
AT1G64380,ERF061,-2.041004866,0.003293738,
AT1G26760,ATXR1,-1.558210814,0.003293738,
AT5G51380,,-1.113390226,0.003293738,
AT3G28880,,-2.96407544,0.003362187,
AT5G67270,EB1C,-1.465558419,0.003362187,
AT3G47860,CHL,-1.227489132,0.003362187,
AT5G48470,PRDA1,-1.151817679,0.003362187,
AT1G49720,ABF1,-1.120780049,0.003362187,
AT5G02860,,-0.929413879,0.003362187,
AT5G08260,SCPL35,-0.663089525,0.003362187,
AT4G02280,SUS3,1.99426432,0.003362187,
AT4G19420,,1.177663631,0.003367588,
AT5G44210,ERF9,-1.032856796,0.003408012,
AT3G44050,KIN12E,-1.597002011,0.003425904,
AT3G54750,,-1.261811582,0.003425904,
AT2G38465,,-2.34376923,0.0034332,
AT2G26520,,-2.081433811,0.0034332,
AT3G14190,PANS1,-1.472701819,0.003446786,
AT5G64620,C/VIF2,-1.501639457,0.003469147,
AT4G14150,KIN12A,-1.250780787,0.003469147,
AT3G03130,,-1.727225332,0.003500753,
AT5G15340,PCMP-H91,-1.031755433,0.003536511,
AT1G62550,NA,5.386082359,0.003578502,
AT1G63100,SCL28,-1.708833653,0.003646342,
AT4G14310,,-1.291589373,0.003646878,
AT3G11520,CYCB1-3,-1.729454959,0.003648073,
AT1G77630,LYM3,-0.929873143,0.003661846,
AT1G49230,ATL78,-1.744813298,0.003692946,
AT3G03710,PNP1,-1.099037919,0.00369883,
AT1G13270,MAP1B,-1.255984708,0.003702307,
AT1G60260,BGLU5,0.613092512,0.003725311,
AT4G21270,KIN14C,-1.380113142,0.003756708,
AT4G22470,,3.991401707,0.003756708,
AT4G33270,CDC20-1,-1.695007763,0.003775594,
AT3G16175,,1.257298975,0.003794541,
AT3G51280,,-1.749163832,0.00384852,
AT5G49525,,1.313233273,0.00384852,
AT3G26740,CCL,-1.65779948,0.003880638,
AT5G17160,,-1.5977007,0.003944769,
AT4G26370,,-1.326158355,0.003944769,
AT5G54960,PDC2,-0.81473409,0.003944769,
AT4G12490,,4.434458544,0.003944769,
AT1G69830,AMY3,-0.92154282,0.003963998,
AT5G03800,EMB175,-0.673201902,0.003983614,
AT3G19270,CYP707A4,1.465832997,0.003983614,
AT4G30650,,-1.631267443,0.003988993,
AT1G08550,VDE1,-1.464541029,0.003988993,
AT4G15610,,1.959452871,0.003995544,
AT4G37490,CYCB1-1,-1.445775715,0.004016788,
AT3G07640,,-1.135792221,0.004016788,
AT3G09032,,-1.12105621,0.004022543,
AT2G34190,NAT2,-1.518486738,0.004027082,
AT5G05080,UBC22,-0.488231224,0.004030483,
AT2G44040,DAPB1,-1.476569382,0.00408862,
AT2G37220,CP29B,-1.251932253,0.00408862,
AT4G02990,MTERF4,-1.099106447,0.00408862,
AT1G25490,PP2AA1,-0.251296947,0.004103968,
AT1G08560,KN,-1.649860981,0.00410804,
AT1G20060,,-1.47190643,0.00410804,
AT3G15750,,-1.300932753,0.00410804,
AT1G72250,,-1.173806424,0.00410804,
AT3G24495,MSH7,-1.16632103,0.00410804,
AT5G44340,TUBB4,-1.027241278,0.00410804,
AT2G33210,HSP60-2 AT2G33210,-1.022223338,0.00410804,
AT5G15220,,-0.799101573,0.00410804,
AT3G49725,,-0.504196652,0.00415155,
AT3G07320,,-1.367262703,0.004194577,
AT2G28450,,-0.433179949,0.004197278,
AT4G20325,,-0.957950026,0.004197723,
AT3G17360,POK1,-1.485618888,0.004205561,
AT2G38620,CDKB1-2,-1.385642158,0.004205561,
AT1G64760,,-1.336288185,0.004205561,
AT3G59890,DAPB2,-1.234462161,0.004205561,
AT2G46980,ASY3,-0.762794478,0.004205561,
AT5G20980,MS3,-0.689927202,0.004209912,
AT5G52310,RD29A,-1.412212558,0.00421734,
AT1G48260,CIPK17,1.264258518,0.00421734,
AT5G28335,NA,-1.939097128,0.004319999,
AT4G32830,AUR1,-1.691888957,0.004319999,
AT3G51740,IMK2,-1.255398438,0.004319999,
AT4G18440,,0.915681977,0.004319999,
AT2G37180,PIP2-3,0.972075256,0.004319999,
AT1G55540,NUP214,-0.399499049,0.004353747,
AT3G01330,E2FF,-1.210918591,0.004353976,
AT3G22960,PKP1,-0.73393486,0.004353976,
AT4G09730,RH39,-0.716903905,0.004353976,
AT1G58270,ZW9,1.068837095,0.004353976,
AT1G02340,HFR1,1.171921514,0.004353976,
AT3G45060,NRT2.6,3.363090496,0.004353976,
AT4G25490,DREB1B,-3.193632427,0.004359829,
AT1G48570,,-1.295200908,0.004359829,
AT3G18190,CCT4,-0.3316581,0.004359829,
AT2G25730,,-1.411265027,0.004395206,
AT2G20530,PHB6,-0.567286837,0.004395206,
AT2G16367,NA,2.642809714,0.004395206,
AT2G44190,EDE1,-1.440209303,0.004427215,
AT3G54560,H2AV,-1.50607034,0.004431826,
AT3G62060,,-1.429229897,0.004431826,
AT3G10915,,0.312788489,0.004431826,
AT5G18820,CPN60A2,-1.242869467,0.004469948,
AT5G45700,,-1.769487464,0.004485572,
AT4G01730,PAT18,-1.5339703,0.004485572,
AT5G02160,,-1.498477522,0.004485572,
AT2G29630,THIC,-1.195340913,0.004485572,
AT2G29760,PCMP-H33,-1.155578556,0.004485572,
AT1G69040,ACR4,-1.154398218,0.004485572,
AT1G18500,IPMS1,-0.403699513,0.004485572,
AT5G02600,NAKR1,0.49044542,0.004485572,
AT3G02850,SKOR,0.882275051,0.004485572,
AT2G14290,,2.190913815,0.004485572,
AT2G38770,EMB2765,-0.386434308,0.004517184,
AT1G65300,PHE2,2.111677867,0.004517184,
AT4G38070,BHLH131,-1.523432245,0.004525656,
AT1G16520,,-0.4350654,0.004525656,
AT2G41560,ACA4,-1.042442571,0.004587701,
AT2G16270,AT2G16270,-1.707636119,0.004603915,
AT2G04090,DTX5,2.977977253,0.004603915,
AT2G41990,,-2.09697362,0.004623765,
AT1G74890,ARR15,-2.307799434,0.004626533,
AT2G20020,CAF1,-0.710624653,0.00474875,
AT1G67780,,-1.335453564,0.004797259,
AT2G01170,BAT1,-0.74713475,0.004797259,
AT5G11510,MYB3R4,-1.273045921,0.004846382,
AT5G60150,,-1.568734026,0.004856213,
AT2G43510,ATTI1,2.393171142,0.004856213,
AT4G25270,PCMP-E53,-1.113087372,0.004865365,
AT1G20190,EXPA11,-1.969802453,0.004890325,
AT1G67180,,-1.460839978,0.004890325,
AT2G02740,WHY3,-1.174397116,0.004890325,
AT4G08210,PCMP-E100,-1.168847049,0.004890325,
AT5G43010,RPT4A,-0.359936326,0.004890325,
AT5G55820,,-1.228871133,0.004916062,
AT5G48230,AAT1,-0.644606544,0.004916062,
AT2G33250,,0.514350137,0.004916062,
AT4G35850,,-0.375525334,0.004916914,
AT4G03610,,-1.92269322,0.004919916,
AT1G73655,FKBP17-3,-1.332065689,0.004930045,
AT2G29680,CDC6,-1.793742859,0.004941031,
AT3G13170,SPO11-1,-1.436174708,0.004941031,
AT2G31010,,-1.112331036,0.004941031,
AT1G67660,,-1.072366897,0.004941031,
AT2G16780,MSI2,-0.887992503,0.004941031,
AT1G29370,,-0.427698132,0.004941031,
AT5G49700,AHL17,2.182384615,0.004941031,
AT3G24400,NA,-3.021126812,0.004998789,
AT3G54650,FBL17,-0.760745825,0.004998789,
AT5G26360,CCT3,-0.28943715,0.004998789,
AT1G53330,,-0.907690458,0.005028615,
AT4G33280,,-2.221144316,0.005055737,
AT5G62020,HSFB2A,1.114481486,0.005092132,
AT4G20400,JMJ14,-0.320194505,0.005113932,
AT5G04130,GYRBM,-0.664989528,0.005226485,
AT5G66230,,-1.588689899,0.005246823,
AT2G17230,EXL5,-1.203818697,0.005246823,
AT3G15140,,-1.023194089,0.005246823,
AT4G36680,,-0.509457724,0.005257108,
AT5G15960,KIN1,2.0704246,0.005299771,
AT1G51580,,-0.346426466,0.005310571,
AT1G20610,CYCB2-3,-1.341184281,0.005319507,
AT4G13370,,-1.254150591,0.005319507,
AT5G23575,,-0.95708116,0.005377791,
AT3G55200,SAP130A,-0.43735765,0.005377791,
AT4G09150,,-0.255959039,0.00538997,
AT3G09780,CCR1,-1.737834804,0.005399561,
AT2G37020,,-0.667565681,0.005399561,
AT2G43130,RABA5C,0.235455385,0.005399561,
AT1G10522,PRIN2,-1.198020881,0.00540587,
AT5G40480,GB210,-0.664737973,0.005410163,
AT3G51140,,-0.626126387,0.0054165,
AT1G66760,DTX9,1.848190523,0.0054165,
AT5G03720,HSFA3,-2.373318407,0.005425427,
AT1G20020,LFNR2,-1.208646435,0.005425427,
AT2G06040,,-0.525411809,0.005472285,
AT5G20890,CCT2,-0.382935289,0.005472285,
AT1G55890,,-0.313124195,0.005477616,
AT4G13495,,0.654328744,0.005477616,
AT3G48360,BT2,-3.385061369,0.005489207,
AT2G42955,,-2.399232999,0.005489207,
AT3G23670,KIN12B,-1.162095067,0.005489207,
AT5G62410,SMC2-1,-1.050764692,0.005489207,
AT2G36250,FTSZ2-1,-0.557546181,0.005489207,
AT1G31810,FH14,-0.338588263,0.005489207,
AT5G27950,KIN14U,0.242814781,0.005489207,
AT2G35744,,0.624084132,0.005489207,
AT2G29440,GSTU6,1.582598512,0.005489207,
AT5G45240,,-2.586602653,0.005492162,
AT4G09350,ndhT,0.639372146,0.005516565,
AT1G80160,,4.378608886,0.005592235,
AT3G17830,,-0.942615277,0.00561081,
AT1G76310,CYCB2;4,-1.411094411,0.005611205,
AT4G20770,PCMP-E35,-0.923110137,0.005611205,
AT5G40180,,-3.392932854,0.005624022,
AT2G25880,AtAUR2,-1.474100244,0.005624022,
AT4G02110,,-1.34320836,0.005624022,
AT2G05990,MOD1,-1.021972644,0.005624022,
AT3G06730,CITRX,-0.970552154,0.005624022,
AT3G16480,MPPA2,-0.318626182,0.005624022,
AT3G27540,,0.662492925,0.005624022,
AT3G26450,,0.675459633,0.005624022,
AT1G75050,,-2.943158141,0.005656774,
AT5G67100,POLA,-0.943604348,0.005700191,
AT2G15000,,-0.746824544,0.005700191,
AT3G19590,BUB3.1,-0.727125821,0.005700191,
AT3G27730,RCK,-1.829575233,0.005723272,
AT2G40660,,-0.517921602,0.005723272,
AT5G19780,TUBA3,-1.247118011,0.005732232,
AT3G26085,,0.340557177,0.005757313,
AT2G20635,BUB1,-1.171119305,0.005771585,
AT1G17780,AT1G17780,0.450993951,0.005782931,
AT1G54020,,3.293355381,0.005782931,
AT5G43300,GDPD3,2.233944996,0.005790841,
AT3G46970,PHS2,-0.475079512,0.005794886,
AT3G11560,,-0.459226721,0.005820802,
AT2G37470,,-1.595653323,0.005879399,
AT1G33930,IAN6,-1.323135513,0.005879399,
AT2G41450,,-1.269889479,0.005879399,
AT1G33410,SAR 1.00,-0.548420022,0.005879399,
AT3G13175,,-0.782978757,0.005883184,
AT1G58180,BCA6,0.668759236,0.005883184,
AT2G32590,CAPH AT2G32590,-1.235368519,0.005911603,
AT2G18245,,-0.544463771,0.005911603,
AT2G25060,ENODL14,-1.323674257,0.005913863,
AT5G13840,FZR3,-1.227263544,0.005913863,
AT4G32520,SHM3,-0.385125428,0.005986564,
AT4G19230,CYP707A1,1.407458426,0.005986564,
AT4G11080,HMGB13,-1.203344382,0.006022928,
AT2G42110,,-1.951238063,0.006045469,
AT5G25090,ENODL13,-1.741761298,0.006045469,
AT1G76140,,-0.742249017,0.006093727,
AT4G33260,CDC20-2,-1.472429654,0.006099635,
AT5G59870,HTA6,-1.349259336,0.006169185,
AT5G11000,,-0.574590486,0.006215214,
AT1G75960,AAE8,-1.57034273,0.0062549,
AT2G29550,TUBB7,-0.853784056,0.0062549,
AT4G33760,,-0.787707627,0.006270592,
AT2G41290,SSL2,0.838428861,0.006270592,
AT5G01420,,-1.897114859,0.006314114,
AT1G44110,CYCA1-1,-1.301749512,0.006314114,
AT5G65360,HTR2,-1.188836989,0.006355361,
AT1G49870,,-1.595691485,0.006357861,
AT2G17660,,2.420599113,0.00638781,
AT1G19230,RBOHE,2.089866226,0.006390478,
AT1G26840,ORC6,-1.486845362,0.006439085,
AT4G03100,ROPGAP2,-1.238744665,0.006439085,
